login_id,repo_count,follower_count,member_since
kumavis,436,1169,2012-02-26
STUNT101,0,71,2011-05-15
yikaraman,34,5,2013-09-18
brett,17,39,2008-02-20
jprichardson,167,1188,2009-11-07
suneil,36,16,2009-12-09
artemii235,42,62,2015-11-09
vkandola,153,1608,2014-04-21
hemantasapkota,46,108,2011-07-05
johnantoni,535,119,2008-06-30
karsthammer,49,13,2009-03-23
SeanReid,37,3,2012-08-22
yorzi,72,116,2008-12-08
mmcgrana,60,1074,2008-03-06
ky-bot,1,300,2020-05-08
michielbdejong,402,282,2010-09-20
fmu,2,6,2008-08-25
roy,35,15,2008-03-04
sorrycc,202,12824,2008-11-18
ainame,139,291,2011-04-24
xavi,15,39,2008-02-28
uira,30,140,2009-05-29
evinw,8,1399,2011-06-11
hsinjoulin,3,1,2015-03-04
algebric,4,2285,2014-03-05
haileypate,38,23,2011-10-04
arjan,239,168,2008-09-15
martindale,1693,471,2009-09-22
silentrob,112,317,2008-07-04
adyliu,16,272,2011-11-04
naffis,28,74,2008-03-25
angusshire,18,12327,2013-11-07
haozeng,18,21,2012-09-28
dehine,10,1,2017-01-16
markkorput,143,21,2010-02-18
fsquillace,64,80,2011-11-26
mikeyb,26,126,2008-11-24
shimarin,13,20,2008-05-26
newhoggy,74,84,2009-03-13
batermj,2384,1431,2010-04-23
Lisprez,411,1152,2015-09-23
fijiwebdesign,121,18,2011-05-25
cselmer,24,79,2008-03-04
dendisuhubdy,2885,506,2013-05-20
keito,2,82,2009-06-22
tmm1,314,2356,2008-03-08
GabiThume,34,80,2010-05-27
sctv,64,52,2008-04-07
shmangles,3,2,2010-01-23
bachp,146,92,2010-07-16
erinata,86,93,2010-12-23
maggit,50,279,2008-11-07
ahmetabdi,154,709,2011-05-09
bitsondatadev,27,412,2014-08-25
deltam,38,33,2010-01-31
cwsaylor,25,41,2008-02-14
mountain,67,263,2008-02-25
atmos,170,1271,2008-01-22
scifisamurai,12,32,2009-09-28
jsonmaur,32,183,2011-07-12
alfredwesterveld,52,65,2008-04-13
romanz,108,252,2008-05-10
msakazo,2,1,2020-05-25
brendanlim,118,144,2008-02-29
mathieuravaux,127,96,2008-12-05
wemeetagain,75,130,2012-01-18
dalinnen,1,5,2014-11-04
RobLoach,791,371,2008-09-18
Chelo,5,10,2011-01-29
lostinpatterns,16,12,2008-04-05
selimozergun,4,9,2011-09-06
jb55,536,400,2009-01-10
membogg,4,18,2008-04-16
vsantosu,33,24,2012-04-02
jkatzer,89,59,2009-11-13
kanzure,160,474,2009-07-03
kialam,31,5,2012-09-06
cnd,15,0,2012-10-26
nathan-gs,54,24,2010-07-13
kiwifig,42,11,2013-03-20
verejava,5,1000,2018-05-25
batsuuri,3,0,2012-06-07
darwin,143,707,2008-04-06
grunch,72,79,2010-03-23
innomarkglobal,0,14,2012-10-10
gijzelaerr,167,154,2010-07-08
minglecm,35,78,2009-01-10
grisaitis,72,42,2011-07-11
gisikw,57,108,2008-05-13
rasata,1782,50,2009-06-09
esin,36,9709,2009-04-02
chillicoder,161,120,2009-01-25
Kakise,60,1080,2016-04-24
dgonzalez,90,170,2009-09-06
jhonsu01,41,33,2012-05-31
mashiox,47,54,2010-06-18
FranciscoJGuz,9,121,2015-10-29
pomazanbohdan,11,6,2011-03-29
huacnlee,120,4686,2008-04-07
bishopZ,47,58,2011-10-19
KJlmfe,65,95,2011-12-03
anandkunal,7,100,2008-02-28
seabre,105,73,2008-12-22
jondkinney,73,95,2008-04-03
alexanderdean,6,204,2010-02-09
sudachen,146,53,2008-02-28
diclophis,106,120,2008-05-13
shanesveller,102,96,2008-02-25
rikonor,97,20,2013-01-27
ahmedalazazy,298,234,2019-06-12
ticean,62,75,2009-01-15
peterp,30,416,2009-01-07
Wijnand,12,16,2008-06-10
RobinWu,50,32,2008-06-08
MnkyPwz,20,17,2012-01-01
davesag,121,82,2010-09-04
rfilipo,50,36,2010-03-18
JaiiRashad34,6,1,2018-01-12
rohithadassanayake,5,526,2009-07-30
trietptm,198,1357,2010-12-17
Bunlong,215,1866,2012-01-06
drewmeyers,1,31,2012-08-18
bkerley,233,203,2008-04-02
zulhfreelancer,205,157,2013-01-29
Skyhoper,1,4,2009-11-17
tchnorider,16,290,2015-09-04
marko-jankovic,8,137,2011-07-11
MaxValue,35,41,2012-02-17
lazzarello,152,170,2008-03-26
mattvick,75,7,2011-03-04
andresurepno,0,11,2017-12-07
mrflip,144,269,2008-04-09
vladanghene,71,33,2013-03-05
gourneau,75,70,2008-10-22
adamJLev,40,27,2010-01-23
NatashaTheRobot,123,1584,2011-10-28
mikegwhit,11,1027,2012-12-05
lnsoso,849,0,2008-11-08
DoktahWorm,12,11,2008-08-19
mschmulen,106,83,2010-11-16
hieple7985,33,47,2011-06-08
lgn21st,92,679,2008-04-13
ijagjeet,41,2228,2018-12-19
brupm,31,56,2008-02-17
jameskyokushin,30,19,2011-08-04
y-ke,7,11,2015-10-24
eston,9,141,2009-01-23
Hungsta,4,32,2011-07-28
shpytalenko,54,2,2011-01-20
peterpunk,4,47,2008-05-08
aparo,151,149,2008-10-08
kirillsalykin,23,13,2009-10-07
orlin,43,51,2008-03-06
arfrank,51,26,2009-09-16
watcherdm,104,56,2010-05-05
mrklaw,2,1,2011-11-14
eoin,4,87,2008-04-03
henrygarner,109,82,2008-09-14
ssoper,52,89,2008-06-05
linkerlin,311,156,2008-11-28
aprock,4,22,2009-12-25
davidpots,46,77,2008-10-16
hj91,197,32,2010-09-12
Hamz-a,33,190,2013-08-28
janx,103,1044,2008-04-09
t3573393,45,15,2010-05-28
erynofwales,28,52,2011-03-30
laconc,8,19,2016-07-12
brianmario,33,856,2008-05-26
Neustradamus,42,445,2009-07-14
esneko,40,265,2009-03-17
bulters,75,13,2009-02-23
ivansf,14,25,2009-01-29
clarkbw,82,392,2008-03-04
KevinHock,39,4695,2012-12-19
godane,31,14,2008-10-07
naharris212,0,5,2010-11-24
hmcfletch,35,16,2008-11-02
jiaofeng,33,18,2011-12-21
chunzi,27,161,2008-11-27
macressler,947,300,2011-11-16
cashplk,2,29,2008-04-24
poguez,79,122,2011-04-15
hozaka,9,10,2008-10-29
pmq20,202,766,2008-06-11
qingshen0802,55,98,2017-02-06
ryantm,238,158,2008-04-03
andreypopp,444,866,2008-10-23
josephhabib,5,4,2011-07-15
soldat13,6,39,2016-06-02
Bitonics,2,75,2018-01-23
cusspvz,159,7744,2013-02-15
xiaolan98,20,5,2017-09-13
danstorms,7,8,2010-08-09
thekvn,23,39,2008-04-07
influx6,689,303,2009-09-26
so,0,21,2008-10-21
vizanto,55,60,2010-07-08
pshc,55,33,2008-04-11
m-ezekiel,32,18,2015-04-23
mengcoin,2,16,2018-01-15
benhiller,15,74,2008-02-27
Frenchcooc,21,47,2013-01-13
collin,236,178,2008-04-18
miguelmota,543,1532,2009-12-16
topfunky,86,1292,2008-01-15
jpzk,107,114,2008-10-30
davidrobles,51,69,2009-12-08
lcampos,17,36,2011-09-11
pechorin,14,77,2010-03-19
RaymondCrandall,31,79,2010-05-05
jniamehr,0,3,2010-03-17
jkakar,66,76,2011-01-13
ypersyntelykos,61,669,2014-12-18
minsle,2,679,2017-03-10
betacar,27,36,2010-07-06
cchery101,122,5,2014-02-14
gregdek,50,96,2010-04-25
ericabouaf,109,99,2008-12-09
exgalaxy,2,1,2012-03-13
shmuel7e,12,17,2018-10-05
Sleepyhead-google,133,50,2014-08-25
superisaac,59,62,2008-06-04
frozzare,296,209,2008-06-22
olleolleolle,1406,318,2008-02-13
ksetrin,34,9,2011-03-17
curv3ball,7,74,2018-05-10
STRd6,234,781,2008-07-30
grdw,6,21,2012-10-29
keix,4,18,2009-10-27
573,135,78,2009-09-06
rjst,7,14,2009-03-04
zmughal,256,489,2009-06-11
azisaka,1,72,2008-04-03
mokeefe,1,20,2008-03-25
ArefMq,28,2829,2015-02-07
bcambel,74,113,2009-10-25
una-tapa,28,1,2016-07-23
gregzuro,30,21,2010-04-02
maca,91,101,2008-10-19
freemanZYQ,1647,168,2017-01-04
robbyrob42,10,8,2012-10-10
stonegao,140,292,2008-12-22
krodyx,762,166,2017-02-24
ZenCocoon,73,36,2008-05-16
thadd,22,63,2008-04-03
mbleigh,147,885,2008-02-27
quinn,134,66,2008-03-25
fredrik,58,73,2008-06-06
Xyphex,9,5,2013-06-27
wilsonminer,7,99,2008-04-09
shanx,80,32,2008-10-06
rbeene,93,40,2009-04-02
buffer8848,51,37,2012-07-17
WillemJan,35,0,2010-05-01
piclez,39,48,2008-02-24
carlos8f,238,302,2009-07-20
rociiu,76,112,2008-09-10
VagrantStory,9,1987,2013-04-05
jescriba,38,21,2013-03-22
pxpgraphics,156,35,2012-04-19
alexindigo,183,125,2009-09-15
victor-vargas2009,12,7,2011-10-24
aral,498,620,2008-12-20
alexeykudinkin,30,42,2010-10-05
rmoriz,82,176,2008-02-28
grantmichaels,10,48,2008-06-21
priornix,9,21,2013-02-25
catull,33,34,2009-11-07
haobuxia,11,3,2018-09-23
Rady,43,18,2009-08-26
bobbyahines,28,9,2015-03-07
sonmio,3,28,2017-01-09
jpf,157,288,2008-12-19
josemontesdeoca,11,48,2011-05-01
ckabuya,38,2,2012-08-21
pkrasam,295,52,2013-05-24
memoar,0,0,2011-11-26
zhanknight,12,2,2016-07-16
blanu,86,134,2008-11-20
Poincare,49,98,2010-03-06
migueljulio,20,3,2014-02-12
vrnithinkumar,116,43,2012-02-07
raudelenrique,1,1,2012-10-02
peterprokop,74,39,2012-02-26
jserv,113,3407,2010-11-12
eugeneware,253,301,2008-12-03
EricPKerr,56,36,2008-08-11
pablete,25,72,2008-02-19
mattn,1835,9791,2008-05-13
stigtsp,152,78,2009-04-19
imArafatHussein,1,4123,2016-08-25
specious,40,151,2010-10-23
dumpytown,2,11,2012-05-04
fundon,107,832,2008-10-07
liveink,76,36,2009-10-27
morganrallen,107,54,2008-09-02
dustinwhittle,1,275,2008-06-01
